8.8.8.8
google.com
172.16.23.2, Pri Srv
172.16.23.3, Sec Srv
172.16.23.4, NAS Srv
172.16.23.15, Tote Tipper (WAGO PLC 1)
172.16.23.16, Flex Labeler (WAGO PLC 2)
172.16.23.18, Low Sort 100 (WAGO PLC 3)
172.16.23.19, Low Sort 200 (WAGO PLC 4)
172.16.23.20, Low Sort 300 (WAGO PLC 5)
172.16.23.21, Tote Convey (WAGO PLC 6)
172.16.23.22, Tote Drop (WAGO PLC 7)
172.16.23.31, iDRAC Int Sec Srv
172.16.23.32, iDRAC Int Pri Srv
172.16.23.33, iDRAC Int Sec Srv
172.16.23.40, Pri Srv
172.16.23.41, Sec Srv
172.16.23.42, NAS Srv
172.16.23.43, Tote Tipper (WIN PC)
172.16.23.44, Flex Label (WIN PC)
172.16.23.45, Sort Induction (WIN PC)
172.16.23.48, Patient Sorter 3 (S300) (WIN PC)
172.16.23.49, Manual Station/QC (WIN PC)
172.16.23.50, Tote Drop (WIN PC)
172.16.23.51, Man Label 1 (WIN PC)
172.16.23.52, Man Label 2 (WIN PC)
172.16.23.53, Tote Tipper (WAGO PLC 1)
172.16.23.54, Flex Labeler (WAGO PLC 2)
172.16.23.56, Low Sort 100 (WAGO PLC 3)
172.16.23.57, Low Sort 200 (WAGO PLC 4)
172.16.23.58, Low Sort 300 (WAGO PLC 5)
172.16.23.59, Tote Convey (WAGO PLC 6)
172.16.23.60, Tote Drop (WAGO PLC 7)
172.16.23.104, N/A
172.16.23.128, N/A



